,ground ginger,light brown sugar,fresh basil,onion powder,lemons,bay leaf,vinegar,dried thyme,cumin,oregano,fresh ground pepper,sesame oil,ground nutmeg,bay leaves,bananas,shredded cheddar cheese,whole milk,red bell pepper,chicken,boiling water,whole wheat flour,crushed red pepper flakes,thyme,fresh lime juice,whipping cream,shortening,apples,fresh thyme,low - fat milk,white wine,lemon zest,chicken breasts,diced tomatoes,breadcrumbs,strawberries,curry powder,basil,cold water,red pepper flakes,white pepper,red bell peppers,green peppers,shrimp,semi - sweet chocolate chips,dry mustard,dried basil,pure vanilla extract,salsa,ground cloves,cooking spray,black beans,chives,garlic salt,warm water,half - and - half,green bell pepper,cider vinegar,feta cheese,monterey jack cheese,almond extract,barbecue sauce,cherry tomatoes,hot sauce,peanut butter,chocolate chips,maple syrup,celery ribs,nuts,lime,sharp cheddar cheese,green pepper,yellow onion,sesame seeds,dark brown sugar,flat leaf parsley,bread,white vinegar,green bell peppers,evaporated milk,molasses,white wine vinegar,cabbage,cocoa powder,almonds,corn,cream,heavy whipping cream,egg yolk,ice,capers,pine nuts,cake flour,orange zest,fresh rosemary,flour tortillas,fresh basil leaves,cucumbers,plain yogurt,fresh parsley leaves,unsweetened cocoa powder,lean ground beef,shallot,avocado,hot water,lettuce,apple cider vinegar,red wine,cloves,peanut oil,red peppers,italian seasoning,fresh mushrooms,ground coriander,black olives,fresh chives,cayenne,yellow onions,sweet potatoes,egg white,rice vinegar,beef broth,sweetened condensed milk,ham,Tabasco sauce,spinach,plum tomatoes,swiss cheese,salt and black pepper,rosemary,cornmeal,rice,limes,cooked chicken,banana,cocoa,ricotta cheese,avocados,blueberries,cooked rice,low sodium chicken broth,seasoning salt,coconut milk,broccoli,turmeric,orange,ice cubes,green beans,cucumber,leeks,rolled oats,red pepper,bell peppers,light corn syrup,of fresh mint,fresh dill,vanilla ice cream,green chilies,skim milk,sliced almonds,salt & pepper,sliced mushrooms,coarse salt,ground allspice,vodka,oranges,bread flour,semisweet chocolate,asparagus,boneless skinless chicken breast halves,allspice,jalapenos,fish sauce,active dry yeast,pasta,basil leaves,red potatoes,cream of tartar,frozen peas,cumin seeds,panko breadcrumbs,slivered almonds,dried cranberries,parmigiano - reggiano cheese,whipped cream,beer,corn tortillas,Philadelphia Cream Cheese,sake,blue cheese,mustard,pineapple juice,romaine lettuce,brandy,vegetable broth,dried parsley,applesauce,graham cracker crumbs,Granny Smith apples,caster sugar,cream of mushroom soup,jalapeno peppers,coconut,cracked black pepper,Greek yogurt,plain flour,vegetable stock,crushed pineapple,goat cheese,bittersweet chocolate,hot pepper sauce,spaghetti,white bread,icing sugar,salt & fresh ground pepper,dry red wine,cooking oil,apple,broccoli florets,mirin,low - fat sour cream,dry sherry,salmon fillets,chickpeas,fresh strawberries,cauliflower,whole cloves,crushed tomatoes,beef stock,butternut squash,celery seeds,ground pork,fresh flat - leaf parsley,fresh thyme leaves,vegetable shortening,cinnamon sticks,jalapeno pepper,lemon peel,apple juice,fresh spinach,peaches,Cool Whip,jalapeno,Velveeta cheese,gingerroot,rum,white onion,ground turkey,kalamata olives,fennel seeds,Baby Spinach,cream of chicken soup,roasted red peppers,creamy peanut butter,chopped tomatoes,coriander,French bread,hard - boiled eggs,beef,frozen chopped spinach,sun - dried tomatoes,yeast,russet potatoes,nonfat milk,fresh oregano,Cool Whip Topping,black peppercorns,golden raisins,dried rosemary,fresh mint leaves,pork tenderloin,olives,prosciutto,dates,peanuts,cottage cheese,yogurt,prepared mustard,pumpkin,white onions,tortilla chips,white chocolate,fresh orange juice,seasoning,pineapple,roma tomatoes,chocolate,potato,dried apricots,sherry wine,cilantro leaves,vanilla bean,low sodium soy sauce,diced onions,leek,kidney beans,raspberries,eggplants,mint leaves,yellow cornmeal,cinnamon stick,green onion,smoked paprika,rice wine vinegar,dry breadcrumbs,unbleached all - purpose flour,fresh cilantro leaves,pumpkin puree,fresh coarse ground black pepper,frozen corn,flaked coconut,mint,spaghetti sauce,coriander seeds,dark rum,button mushrooms,apple cider,coconut oil,oats,pumpkin pie spice,nonstick cooking spray,bell pepper,Bourbon,crabmeat,hoisin sauce,ground pepper,yukon gold potatoes,Italian dressing,caraway seeds,creme fraiche,chili sauce,unsweetened chocolate,grape tomatoes,miniature marshmallows,maraschino cherries,poppy seeds,sherry wine vinegar,eggplant,garam masala,elbow macaroni,ice water,lettuce leaves,mangoes,chicken thighs,pork,arugula,ground red pepper,large shrimp,oyster sauce,dill,sweet onion,dark chocolate,celery salt,radishes,sage,baby carrots,corn syrup,fresh blueberries,lime zest,kale,oatmeal,pork chops,ground cardamom,red food coloring,scallion,old fashioned oats,sweet onions,tomato puree,white rice,baby spinach leaves,green olives,spring onions,pecan halves,provolone cheese,boneless chicken breasts,hazelnuts,fresh gingerroot,ground turmeric,cooked ham,mustard seeds,yellow squash,marshmallows,orange peel,peppercorns,fresh raspberries,celery rib,shredded coconut,lasagna noodles,lemon wedges,light cream,medium shrimp,prepared horseradish,turkey,soymilk,tomato juice,fresh breadcrumbs,artichoke hearts,gruyere cheese,sunflower seeds,quinoa,yellow cake mix
molasses,176,42,3,34,13,5,33,12,8,5,2,6,59,10,9,0,9,4,2,32,79,7,6,10,8,84,17,8,17,4,10,3,3,2,0,9,2,11,8,6,4,7,3,9,57,0,11,5,130,22,7,4,6,28,6,5,53,2,1,5,34,1,16,8,6,23,3,10,4,1,2,8,9,69,2,0,17,7,8,0,5,2,6,7,0,4,4,9,1,0,2,7,14,2,1,0,1,2,2,4,4,0,0,27,1,38,5,70,3,4,1,0,8,0,0,8,8,11,10,4,5,1,2,10,2,5,0,4,2,20,2,0,1,2,3,0,2,4,3,0,3,0,0,3,2,1,1,1,1,27,1,1,17,0,0,6,0,4,3,1,1,6,41,1,3,21,1,0,3,31,4,1,17,0,0,1,10,0,4,1,7,10,0,5,6,0,0,0,1,23,1,1,6,0,0,18,2,6,0,0,6,5,7,1,3,0,3,1,4,11,2,0,1,2,1,1,3,0,0,1,6,3,0,0,0,9,2,1,1,4,3,0,0,24,9,6,2,7,1,3,0,3,0,2,3,2,1,0,4,1,0,2,0,2,3,2,0,8,0,0,20,3,6,4,0,6,12,2,2,9,1,0,7,0,0,3,14,4,1,0,4,5,3,5,0,1,0,1,3,6,6,3,2,0,13,0,0,1,12,3,0,6,4,2,11,2,10,7,0,1,0,0,5,11,0,8,3,8,8,4,1,24,0,2,3,0,0,12,1,6,0,0,1,2,2,4,0,1,0,1,2,2,2,3,1,4,1,2,0,4,0,1,1,2,1,7,1,3,2,5,4,9,0,2,12,6,7,0,0,0,0,4,1,2,1,2,1,0,2,0,1,2,2,0,2,1,0,1,1,1,6,2,3,2,0,0,0,14,0,0
white wine vinegar,11,7,24,6,17,20,3,16,10,11,40,15,1,15,0,3,7,31,7,9,0,23,15,10,4,0,3,25,1,15,11,6,5,4,8,30,10,4,11,24,19,3,15,0,30,6,1,4,5,5,4,30,4,2,2,6,6,15,2,1,0,28,11,2,0,10,20,0,6,2,6,6,14,7,29,3,0,7,1,5,0,14,1,7,6,3,3,8,0,30,21,0,13,7,4,22,20,14,22,1,3,44,14,7,8,1,4,6,5,10,4,5,8,15,27,10,7,4,8,3,6,1,4,10,3,7,6,12,6,3,2,3,3,0,0,1,8,5,2,6,2,2,7,7,11,0,19,15,4,0,14,8,1,13,30,0,3,0,11,7,0,14,7,2,14,0,1,19,5,2,7,3,0,2,12,19,1,8,9,3,6,7,5,1,4,3,1,1,14,10,2,16,2,6,4,0,0,3,8,0,3,0,17,7,3,2,1,16,0,8,1,10,3,4,4,1,3,11,3,4,9,9,8,3,11,0,1,1,3,21,1,19,5,0,2,5,6,1,5,0,0,4,0,2,2,3,0,12,7,13,0,10,2,3,3,6,12,1,0,4,0,5,1,12,0,15,11,2,12,10,5,8,0,2,1,1,3,3,3,4,1,7,0,2,3,0,1,5,2,2,1,5,1,4,4,2,5,9,1,3,4,6,1,2,0,6,0,4,2,0,8,0,18,1,7,1,1,0,0,1,2,1,2,6,6,12,0,4,8,3,0,9,0,0,6,3,7,2,4,0,7,6,6,1,9,6,3,0,9,5,0,2,17,1,6,3,0,5,3,0,3,2,0,9,0,6,3,0,4,4,6,1,0,4,6,3,8,1,7,3,0,2,6,0,3,0,0,2,0,3,8,1,0,3,1,10,3,2,8,0
cabbage,9,2,5,15,12,26,52,19,16,18,11,49,2,27,3,4,2,15,7,12,1,10,11,6,0,2,6,5,12,7,3,16,28,8,0,17,16,8,12,15,18,21,15,0,17,9,0,10,5,0,5,10,10,5,8,21,28,1,2,0,8,4,5,3,0,0,17,2,15,1,21,11,23,0,4,6,40,21,5,2,14,0,0,1,10,4,2,2,0,3,1,3,0,3,4,2,10,7,6,0,20,1,13,6,5,20,5,3,17,7,7,4,6,2,1,7,7,2,1,14,22,1,4,5,7,1,13,6,4,1,20,14,9,2,0,2,5,0,14,4,4,3,12,14,2,0,20,5,24,1,9,16,0,1,8,0,4,2,3,14,2,2,3,0,1,2,0,0,1,4,9,12,0,10,5,12,0,8,7,11,11,1,1,0,9,18,0,23,6,9,2,0,0,11,6,0,0,4,1,3,7,4,0,4,2,9,5,2,0,2,4,1,0,11,1,10,9,8,12,5,3,4,7,0,13,6,9,8,2,32,16,2,0,1,0,4,1,4,2,0,0,8,1,5,0,14,4,0,3,1,2,0,3,5,10,2,4,13,1,0,0,4,0,0,0,10,2,2,3,2,2,1,0,9,1,3,9,3,3,3,0,0,6,2,1,0,16,1,3,7,0,7,7,16,12,0,2,2,0,2,10,3,6,2,0,0,0,3,4,1,1,5,2,0,0,2,4,1,0,1,9,0,0,12,3,2,1,24,0,11,0,0,1,0,5,1,1,4,4,1,2,0,4,14,1,2,0,19,7,6,0,7,12,3,7,0,0,1,4,0,4,1,0,6,0,4,4,11,0,2,4,0,0,0,0,3,5,1,24,3,0,2,5,0,8,1,0,2,0,2,6,1,1,19,0,0,5,4,3,0
cocoa powder,2,29,0,2,6,4,20,0,4,7,0,0,5,5,19,0,37,0,1,32,19,0,1,0,24,14,0,1,4,0,0,0,1,0,13,0,1,12,2,2,1,1,0,55,0,1,56,2,8,10,4,0,2,14,6,1,4,1,1,28,0,0,2,29,80,19,0,25,1,0,0,1,3,11,0,1,20,0,15,6,1,0,0,18,0,20,25,28,6,1,1,56,8,0,0,0,1,3,0,8,2,0,1,31,0,8,5,6,2,0,2,0,2,0,0,2,2,0,15,0,1,11,0,3,0,1,0,0,2,4,1,1,0,13,9,5,0,2,1,0,2,7,0,0,10,7,0,0,0,11,0,1,9,0,0,13,0,25,5,1,0,2,5,0,6,7,42,0,0,7,0,0,3,0,1,0,16,0,1,0,3,3,0,18,2,0,1,0,0,0,0,0,8,0,1,11,4,0,34,0,1,8,1,8,21,0,0,1,43,0,1,0,38,0,1,4,1,0,0,1,0,0,0,3,0,1,2,0,1,0,2,0,0,9,1,0,0,1,0,1,1,0,0,0,19,1,0,0,0,0,0,0,8,0,0,2,0,1,0,0,4,0,2,0,0,0,2,0,1,0,2,0,5,3,5,4,0,2,1,0,16,1,0,0,0,51,0,3,0,0,2,0,0,0,3,5,0,0,0,2,0,0,0,0,9,0,3,0,0,6,0,1,0,11,0,0,23,12,2,7,1,2,0,0,0,0,0,3,2,0,15,0,5,7,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,48,2,0,0,0,16,2,0,0,5,0,2,31,0,6,0,0,0,0,1,0,2,0,1,14,0,0,0,0,0,7,0,0,8,0,7,1,0,2,0,0,0,25,0,0,0,0,3,1,1
almonds,24,14,4,3,14,5,10,3,9,5,6,9,20,6,21,2,7,6,13,13,23,5,9,7,16,7,26,2,10,4,19,6,0,12,16,16,4,6,8,4,6,4,2,12,4,0,16,4,24,10,0,3,6,8,1,0,2,9,2,76,0,3,1,9,17,25,4,2,2,3,2,2,18,7,4,4,1,4,8,7,7,1,18,0,3,10,17,16,1,4,7,4,17,3,3,2,1,11,7,8,0,5,8,5,7,3,3,11,5,1,0,6,2,5,0,4,1,0,26,5,2,7,3,3,9,4,2,3,0,3,7,0,7,12,9,4,3,11,2,0,1,5,3,5,13,2,5,3,2,32,4,3,10,4,3,2,1,3,7,5,2,3,5,1,11,4,20,1,1,8,0,2,5,0,5,0,5,4,2,4,1,21,2,7,0,1,3,1,3,2,4,4,7,2,3,12,7,4,8,2,1,15,2,2,3,4,2,6,10,0,2,1,11,2,3,1,12,1,2,5,3,5,4,4,2,2,0,0,3,1,2,3,1,0,8,1,12,7,2,6,2,0,1,8,13,1,0,1,3,1,3,2,2,2,4,4,3,0,1,3,10,0,7,0,1,0,19,2,5,0,1,0,31,6,4,6,2,5,0,0,7,2,0,7,1,13,1,21,12,2,6,2,2,0,0,6,1,2,1,9,0,1,2,1,6,3,2,3,0,6,1,0,6,10,0,2,21,15,2,6,1,3,3,0,1,0,1,1,3,0,3,4,2,6,6,7,2,4,0,6,1,5,3,2,3,2,0,0,1,0,12,0,0,2,0,6,1,3,7,8,0,10,2,2,12,1,1,0,1,5,1,3,0,0,21,1,1,0,0,1,2,8,4,3,0,17,0,1,4,3,0,2,5,0,4,2,0,27,6,4
corn,1,6,10,26,15,17,9,20,72,28,18,11,2,17,0,24,11,30,18,4,1,8,19,34,5,4,7,6,4,2,1,12,48,10,2,9,15,4,11,21,27,17,18,0,6,10,0,46,1,7,130,16,15,0,5,17,8,3,31,1,19,19,20,0,1,0,10,1,34,13,20,11,1,1,9,5,0,18,5,0,6,10,0,3,0,9,2,2,0,3,5,0,0,4,17,4,4,6,5,0,12,7,30,1,6,14,2,0,5,19,6,2,4,18,8,14,17,7,4,7,8,0,4,11,9,6,2,12,5,24,10,25,12,0,0,1,19,0,14,8,6,4,7,2,0,1,22,6,7,1,16,14,0,1,4,0,28,2,0,8,5,7,7,0,1,1,0,5,3,1,19,1,2,5,5,20,0,4,7,1,0,1,3,0,7,18,1,0,0,2,2,5,0,20,13,0,0,0,0,9,15,0,9,5,2,13,1,5,0,1,3,0,0,6,2,3,1,7,0,2,3,2,5,0,4,2,7,2,4,3,4,4,3,0,2,15,0,3,2,3,0,22,10,2,0,12,9,1,2,2,6,9,1,2,7,2,3,4,1,7,2,7,0,2,0,1,1,2,1,5,7,2,1,0,0,3,2,1,12,26,0,4,4,1,9,0,9,0,1,5,0,1,9,2,24,0,2,0,7,1,5,8,0,1,1,19,0,3,0,0,1,3,3,0,3,3,2,0,0,4,9,0,5,0,4,4,8,0,5,0,0,10,0,0,0,2,1,1,3,2,2,3,2,0,3,3,12,0,3,9,0,3,2,2,4,0,0,7,0,2,3,1,0,8,0,8,4,5,0,2,1,0,0,2,0,1,3,3,1,5,0,0,1,0,3,0,1,2,3,4,1,0,5,4,1,2,0,1,13,0
cream,8,6,8,1,9,10,4,7,7,11,10,1,22,9,17,6,16,5,10,11,2,4,19,2,6,11,12,6,11,28,9,11,6,18,18,11,8,14,8,16,2,1,11,4,4,4,7,1,13,1,2,28,0,7,6,2,4,7,5,11,0,4,3,4,7,9,6,12,5,6,0,4,5,1,7,7,3,2,7,4,3,4,20,10,9,0,3,31,15,4,3,14,4,4,0,6,4,3,7,2,0,11,3,4,1,6,7,7,1,1,6,5,8,2,11,4,6,9,5,0,2,6,8,1,16,1,7,11,9,2,3,2,11,6,21,10,2,3,2,4,2,9,1,4,7,3,3,3,20,5,2,1,7,1,4,6,7,1,4,3,4,3,4,12,3,2,8,6,1,9,4,0,3,11,4,7,6,4,6,2,5,3,8,4,3,1,13,1,4,7,6,1,13,4,1,2,7,6,46,1,0,10,8,3,16,10,4,1,11,0,4,4,29,3,5,6,5,5,0,2,7,7,1,6,6,4,4,6,1,1,2,3,7,2,3,3,2,2,3,2,0,0,0,2,8,4,0,1,0,3,3,1,1,1,2,1,1,3,1,4,5,3,0,1,0,3,2,0,0,2,2,5,4,2,6,8,1,12,1,1,6,4,2,1,3,16,9,1,11,1,17,0,2,6,0,7,0,4,1,3,2,0,0,1,7,0,6,1,1,1,1,0,1,7,13,1,2,1,4,2,2,5,5,1,6,2,0,2,2,0,4,0,0,4,3,3,3,8,1,6,1,3,2,0,3,0,0,0,5,1,30,1,1,3,0,2,2,3,1,0,3,2,3,0,1,1,4,0,1,2,5,2,2,0,5,0,5,1,0,1,8,2,2,3,2,6,2,1,0,3,0,1,0,1,6,2,4,1,0,0
heavy whipping cream,22,11,11,8,8,12,5,7,2,3,4,1,22,3,26,6,50,5,9,17,4,5,9,0,3,9,5,14,6,15,20,7,3,5,28,9,7,21,6,17,3,0,14,40,0,6,17,1,10,20,0,6,2,8,14,4,1,1,9,18,0,0,5,3,14,8,3,3,4,4,1,5,0,14,1,6,5,4,11,4,3,2,25,17,2,3,0,34,1,3,4,30,12,3,0,2,0,1,17,53,0,7,6,4,0,1,5,4,2,0,1,4,2,0,8,3,4,5,9,0,1,17,1,3,3,0,10,18,3,3,3,2,3,6,11,12,1,5,1,5,2,8,1,1,5,1,3,0,9,1,0,2,36,5,0,9,1,0,6,2,2,3,6,8,4,3,62,2,3,5,0,0,4,7,2,3,15,3,0,4,3,0,2,7,1,1,1,2,3,0,2,1,12,5,1,3,23,4,0,0,1,5,2,0,0,4,8,2,45,2,0,0,4,10,1,0,4,3,1,1,1,1,0,19,2,2,1,4,4,1,0,2,1,11,4,2,5,4,3,7,4,0,0,0,7,5,1,1,1,0,1,2,15,2,0,3,1,2,3,1,1,5,1,1,1,3,3,1,3,3,1,2,2,4,4,2,1,6,4,0,24,1,5,5,2,36,4,3,3,0,9,0,5,5,0,7,0,3,3,1,1,1,0,0,7,0,8,2,4,8,2,1,0,21,6,3,3,1,14,2,0,6,4,0,2,7,0,0,4,0,11,0,6,3,1,1,1,0,1,10,0,4,1,0,1,1,1,0,0,2,15,3,0,2,1,10,5,3,3,2,1,4,5,1,3,2,1,0,2,0,0,11,1,1,8,0,1,0,0,1,4,9,1,7,4,3,3,0,5,1,1,1,0,1,0,2,3,0,2,4
egg yolk,20,39,7,2,20,8,7,6,1,4,13,4,19,5,13,1,32,1,1,9,11,3,5,2,30,14,13,11,16,6,36,9,0,17,13,1,7,18,1,12,2,1,3,23,6,2,40,0,17,7,3,13,3,25,7,1,4,7,0,36,2,0,3,3,19,6,1,9,3,2,3,4,7,24,6,9,5,1,10,9,8,2,28,16,2,31,34,0,2,4,4,32,26,4,0,6,1,2,11,5,2,6,1,12,3,2,6,6,7,1,0,3,2,2,8,4,2,7,41,2,2,11,3,7,3,4,4,10,6,5,0,2,5,1,10,11,2,6,5,3,0,3,3,1,5,2,3,0,6,6,1,0,11,0,5,6,1,6,8,1,4,14,6,0,4,14,13,3,0,6,1,0,22,5,1,0,16,3,0,1,10,5,4,4,5,1,3,5,2,3,1,6,18,1,5,6,6,4,12,0,1,5,1,7,23,4,2,4,10,1,0,6,20,2,0,3,7,2,8,1,5,1,0,3,4,0,1,1,3,0,5,4,4,13,3,1,12,0,3,3,2,0,1,1,14,0,1,0,1,2,0,1,10,0,4,5,3,3,3,1,9,2,4,3,1,2,5,2,2,0,3,2,1,1,5,5,1,1,1,0,9,2,1,3,1,22,6,1,6,1,17,0,2,5,0,7,4,2,7,0,2,2,1,3,18,0,4,2,0,12,3,0,0,8,3,1,3,1,4,0,0,5,5,1,1,4,0,6,14,2,9,1,0,5,4,1,0,0,0,24,1,4,2,1,1,0,1,2,1,0,4,2,0,1,0,11,10,3,1,1,0,6,4,2,3,1,2,0,0,1,2,7,1,0,10,0,0,5,0,1,0,2,0,6,3,5,1,1,12,0,1,0,4,0,5,1,9,0,1,1
ice,3,6,4,1,37,4,1,1,0,0,0,0,0,4,21,0,7,2,0,8,0,0,1,74,3,1,7,3,7,4,3,0,0,0,52,0,0,15,0,2,1,0,1,0,0,0,2,0,0,1,0,0,0,4,15,0,3,0,0,2,0,3,9,3,2,4,2,0,39,0,0,0,0,0,0,0,0,1,4,1,0,0,6,1,0,15,1,2,0,0,0,0,2,1,1,2,14,9,1,7,0,1,2,7,1,3,5,4,1,0,0,0,0,0,0,3,0,0,12,2,0,8,1,3,3,1,0,0,4,0,0,31,0,37,3,1,1,13,0,1,0,12,0,0,11,3,0,5,0,0,0,1,3,13,2,22,1,5,0,0,0,10,1,103,17,0,0,0,0,2,2,2,0,0,6,0,0,0,0,0,0,0,1,21,1,0,0,8,0,0,60,0,9,0,0,0,1,2,3,0,1,2,4,6,0,0,0,0,1,1,0,0,1,0,1,0,3,0,0,1,0,0,0,14,0,3,0,0,0,3,0,2,1,1,3,2,7,8,1,11,0,0,0,0,22,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,2,3,0,0,22,0,1,0,1,0,0,0,0,0,0,0,0,18,0,7,0,1,0,0,5,1,5,0,0,0,0,12,0,36,0,1,0,0,1,0,0,2,1,1,0,0,8,0,2,22,0,8,0,0,2,0,0,23,0,0,0,0,0,0,1,0,0,0,0,15,0,3,0,0,0,1,1,11,0,2,0,0,2,0,2,0,1,4,0,0,0,3,6,1,0,0,0,1,2,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,1,2,1,6,0,2,0,6,5,1,1,2,7,8,0,0,0,0,0,0
capers,4,1,55,7,35,19,9,14,4,14,29,0,1,24,0,0,5,16,9,5,5,35,12,4,3,0,1,22,3,44,38,16,25,19,0,1,27,4,41,10,26,4,18,0,6,22,0,0,0,12,2,32,5,3,2,10,4,18,0,0,0,26,15,0,0,0,4,0,3,1,9,11,0,0,65,9,6,4,1,0,30,3,1,4,3,4,3,4,0,0,33,0,2,15,0,26,10,5,55,0,4,38,5,2,3,3,10,1,2,12,4,5,5,41,18,11,7,1,0,0,1,0,6,8,9,33,2,13,4,11,3,2,2,0,0,3,4,0,2,5,2,1,4,3,2,0,9,9,8,0,6,6,0,7,29,0,0,0,3,10,6,6,2,1,1,0,0,7,14,1,0,0,0,9,26,7,0,2,0,12,3,0,8,0,0,0,1,0,1,3,0,2,4,0,6,0,0,1,0,1,1,0,11,2,5,1,1,9,0,5,17,3,0,4,3,2,1,1,0,2,8,30,5,0,11,1,5,2,0,7,4,25,13,0,0,3,10,0,7,0,0,2,0,0,0,7,2,78,7,5,0,20,0,8,1,4,20,3,0,27,1,3,0,19,0,6,12,7,2,2,32,5,0,0,3,1,5,0,3,0,0,2,1,0,5,0,4,0,6,3,0,0,4,1,2,0,15,7,3,0,1,1,0,5,0,0,0,3,0,0,8,3,3,0,3,0,0,1,0,6,3,0,5,0,3,7,3,7,10,3,0,4,0,0,0,9,19,0,2,3,6,1,4,0,7,1,7,0,10,0,0,1,8,2,0,0,0,0,0,0,0,0,0,12,0,3,1,4,1,53,6,0,4,4,0,0,0,3,2,1,0,0,12,0,2,0,0,13,2,4,7,0,0,1,8,12,5,0,3,0
pine nuts,2,4,93,6,18,10,1,13,19,5,26,4,7,9,1,0,5,12,9,8,3,27,12,7,6,2,3,17,1,22,20,8,5,18,5,5,36,4,25,12,19,3,6,1,4,14,2,0,2,12,3,10,5,6,3,8,3,49,6,1,0,31,1,0,0,2,10,1,3,1,5,7,5,2,45,6,3,1,3,2,21,1,1,7,5,3,4,4,0,33,0,1,9,9,2,88,10,11,24,2,6,16,10,3,5,6,5,4,2,5,4,4,11,13,6,5,9,4,2,7,2,2,2,5,16,14,1,13,8,4,15,2,4,0,0,23,6,1,4,8,3,0,9,7,4,0,9,6,3,1,7,5,3,16,7,1,0,1,1,6,5,11,12,0,10,0,2,18,2,5,4,1,2,17,55,2,0,3,4,4,3,15,33,1,1,2,1,0,10,1,0,6,2,8,5,0,1,2,2,0,2,0,14,6,1,7,1,14,1,0,11,2,2,13,3,5,0,9,0,0,4,1,8,2,7,0,3,2,11,0,3,14,13,0,1,3,8,1,19,1,0,1,0,1,0,4,1,21,6,16,0,8,0,5,6,2,4,2,4,40,1,2,0,10,0,3,26,7,24,2,8,16,5,0,2,4,0,7,5,0,0,2,3,0,6,2,1,15,3,7,0,2,3,1,0,0,19,11,5,3,0,2,1,2,0,6,1,3,0,0,12,1,5,0,1,1,1,0,1,3,1,0,0,1,2,0,2,3,1,3,0,9,0,0,1,9,14,1,1,1,2,3,3,0,18,4,2,1,2,2,0,0,0,0,0,1,1,2,13,0,3,3,1,5,0,2,0,5,11,17,8,2,13,4,2,0,3,0,0,9,0,0,0,0,1,1,2,7,3,1,0,1,0,2,6,7,2,3,8,0
cake flour,11,35,1,2,12,4,15,1,0,2,1,8,14,2,36,0,47,0,1,28,6,1,3,3,21,58,8,2,13,3,28,1,1,2,24,2,1,10,1,1,1,0,5,13,0,1,64,0,14,12,0,0,0,5,9,0,1,0,0,39,0,1,0,3,13,19,1,10,0,0,3,0,5,21,1,1,6,1,16,7,0,3,56,4,0,14,30,32,0,0,1,0,14,1,0,2,0,15,0,35,0,0,1,12,1,2,6,6,2,0,0,0,0,2,0,3,0,6,22,1,0,9,0,0,0,0,0,0,1,9,0,3,2,4,30,4,3,12,0,0,0,5,1,1,3,0,1,1,2,4,0,1,16,0,2,5,0,5,12,0,0,3,5,0,5,56,31,1,0,11,0,0,2,2,0,0,74,2,2,7,2,4,1,15,4,0,0,6,0,0,0,0,12,0,2,7,1,2,7,0,0,7,1,0,0,0,6,0,19,1,0,0,9,0,0,4,3,0,5,4,0,2,0,9,1,2,0,0,0,0,3,0,1,27,2,0,9,2,0,4,2,0,0,1,16,0,0,0,1,0,0,0,4,1,1,0,3,0,0,1,4,0,5,0,0,1,0,0,0,0,2,2,2,2,0,13,1,0,0,0,25,8,2,2,1,20,2,0,0,0,17,0,0,3,0,11,2,3,5,2,0,1,1,0,4,0,3,1,0,10,2,0,0,12,1,1,1,2,1,11,0,3,0,1,0,1,0,3,5,0,21,0,1,6,6,0,0,0,0,10,0,3,0,1,0,0,2,2,0,0,3,0,0,0,0,10,4,3,0,3,0,5,27,1,0,2,1,0,0,0,0,2,0,0,6,1,1,2,0,0,3,8,0,4,0,7,2,0,4,0,0,0,14,0,0,0,1,0,0,0
orange zest,35,43,7,3,16,12,4,6,2,2,10,11,40,11,9,0,28,9,2,16,19,10,10,9,12,9,14,12,1,12,73,4,5,1,19,8,7,14,13,9,5,0,3,8,2,1,42,0,34,5,1,10,1,11,7,2,7,5,0,17,2,6,5,0,3,14,5,7,4,0,0,2,10,16,10,2,4,1,6,14,13,0,8,17,0,4,12,26,2,2,9,14,0,10,2,6,2,6,7,10,0,7,4,5,1,4,10,14,7,2,1,0,4,2,4,10,6,20,18,5,3,7,1,2,0,4,0,4,3,5,3,0,0,3,1,11,4,10,1,7,1,6,3,2,29,2,1,2,6,10,1,1,8,5,1,3,0,3,23,1,1,6,21,7,36,6,6,6,5,10,2,3,14,0,0,0,11,1,2,2,13,35,1,6,0,0,7,1,1,0,1,0,6,2,1,5,9,10,8,0,5,1,5,6,0,3,5,7,9,1,0,3,5,2,8,1,5,1,2,0,5,6,3,7,0,13,1,3,5,2,2,5,6,12,21,1,1,2,0,5,2,1,0,5,6,5,5,5,8,4,0,0,0,2,4,3,0,0,0,1,4,0,1,1,4,4,14,2,8,3,2,1,12,0,1,2,0,5,2,1,7,101,0,5,0,6,0,7,12,3,16,11,2,1,0,10,1,4,4,14,1,2,5,2,4,6,5,0,0,7,2,0,5,6,0,5,4,6,4,1,0,10,0,7,1,0,1,6,4,0,1,0,0,2,8,4,1,1,0,7,0,2,2,1,2,1,3,2,0,3,7,0,1,0,0,2,8,16,1,2,1,13,2,1,7,1,1,2,1,5,1,2,0,4,9,4,0,0,1,4,0,2,4,6,1,6,0,1,1,0,0,2,2,1,2,1,0,3,4,2
